order,date,coin,futures,type,sum,fee
1251011973939384330,2024-12-12 09:00:17,USDT,XRPUSDT,contract_margin_settle_fee,-0.00606075,0
1251011971489910826,2024-12-12 09:00:17,USDT,ETHUSDT,contract_margin_settle_fee,-0.051986628,0
1251011964518977537,2024-12-12 09:00:15,USDT,DOGEUSDT,contract_margin_settle_fee,-0.0099782028,0
1251011956281364564,2024-12-12 09:00:13,USDT,DOTUSDT,contract_margin_settle_fee,-0.0074488,0
1251011948068917259,2024-12-12 09:00:11,USDT,SOLUSDT,contract_margin_settle_fee,-0.049679784,0
1251011947376857099,2024-12-12 09:00:11,USDT,LINKUSDT,contract_margin_settle_fee,-0.00749372,0
1251011946579939391,2024-12-12 09:00:11,USDT,BTCUSDT,contract_margin_settle_fee,-0.0675273984,0
1251011939701280782,2024-12-12 09:00:09,USDT,POLUSDT,contract_margin_settle_fee,-0.003245,0
1251011933476933647,2024-12-12 09:00:08,USDT,MANAUSDT,contract_margin_settle_fee,-0.00524514375,0
1251011926824767501,2024-12-12 09:00:06,USDT,ADAUSDT,contract_margin_settle_fee,-0.00497424,0
1250891181486428174,2024-12-12 01:00:18,USDT,ETHUSDT,contract_margin_settle_fee,-0.05286021,0
1250891171046805509,2024-12-12 01:00:16,USDT,XRPUSDT,contract_margin_settle_fee,-0.0059835,0
1250891171000668168,2024-12-12 01:00:16,USDT,ADAUSDT,contract_margin_settle_fee,-0.00467109,0
1250891166621814828,2024-12-12 01:00:15,USDT,SOLUSDT,contract_margin_settle_fee,-0.050455272,0
1250891165535490060,2024-12-12 01:00:14,USDT,BTCUSDT,contract_margin_settle_fee,-0.0746075196,0
1250891156979109888,2024-12-12 01:00:12,USDT,LINKUSDT,contract_margin_settle_fee,-0.0048124,0
1250891156811337760,2024-12-12 01:00:12,USDT,DOGEUSDT,contract_margin_settle_fee,-0.01008504,0
1250891139413364752,2024-12-12 01:00:08,USDT,DOTUSDT,contract_margin_settle_fee,-0.0071932,0
1250891129435115531,2024-12-12 01:00:06,USDT,POLUSDT,contract_margin_settle_fee,-0.003148,0
1250891124464865281,2024-12-12 01:00:05,USDT,MANAUSDT,contract_margin_settle_fee,-0.00583329075,0
1250770385774497799,2024-12-11 17:00:18,USDT,ETHUSDT,contract_margin_settle_fee,-0.04997916,0
1250770381311758357,2024-12-11 17:00:17,USDT,DOGEUSDT,contract_margin_settle_fee,-0.0099108,0
1250770374202413079,2024-12-11 17:00:16,USDT,BTCUSDT,contract_margin_settle_fee,-0.0770823936,0
1250770373598433303,2024-12-11 17:00:15,USDT,XRPUSDT,contract_margin_settle_fee,-0.00611675,0
1250770373514547210,2024-12-11 17:00:15,USDT,SOLUSDT,contract_margin_settle_fee,-0.048870966,0
1250770363817316365,2024-12-11 17:00:13,USDT,DOTUSDT,contract_margin_settle_fee,-0.004410096,0
1250770342401200144,2024-12-11 17:00:08,USDT,ADAUSDT,contract_margin_settle_fee,-0.00470592,0
1250770338223673352,2024-12-11 17:00:07,USDT,LINKUSDT,contract_margin_settle_fee,-0.0047784,0
1250770328845209603,2024-12-11 17:00:05,USDT,POLUSDT,contract_margin_settle_fee,-0.0031285,0
1250770328182509599,2024-12-11 17:00:05,USDT,MANAUSDT,contract_margin_settle_fee,-0.0057214365,0
1250744287577690112,2024-12-11 15:16:36,USDT,DOGEUSDT,open_long,0,-0.00482868
1250649585432055859,2024-12-11 09:00:17,USDT,BTCUSDT,contract_margin_settle_fee,-0.0694992606,0
1250649585260089359,2024-12-11 09:00:17,USDT,ETHUSDT,contract_margin_settle_fee,-0.04820112,0
1250649584261845017,2024-12-11 09:00:17,USDT,SOLUSDT,contract_margin_settle_fee,-0.051965872,0
1250649576510771256,2024-12-11 09:00:15,USDT,DOGEUSDT,contract_margin_settle_fee,-0.0077302,0
1250649567962779652,2024-12-11 09:00:13,USDT,ADAUSDT,contract_margin_settle_fee,-0.0042785,0
1250649558441709596,2024-12-11 09:00:11,USDT,XRPUSDT,contract_margin_settle_fee,-0.005718,0
1250649550069878836,2024-12-11 09:00:09,USDT,LINKUSDT,contract_margin_settle_fee,-0.0044422,0
1250649547972726787,2024-12-11 09:00:08,USDT,MANAUSDT,contract_margin_settle_fee,-0.00490812,0
1250649546525691940,2024-12-11 09:00:08,USDT,DOTUSDT,contract_margin_settle_fee,-0.00660864,0
1250649528435658782,2024-12-11 09:00:04,USDT,POLUSDT,contract_margin_settle_fee,-0.002859,0
1250528788038209539,2024-12-11 01:00:17,USDT,XRPUSDT,contract_margin_settle_fee,-0.00592275,0
1250528787992072225,2024-12-11 01:00:17,USDT,SOLUSDT,contract_margin_settle_fee,-0.045713182,0
1250528774771625994,2024-12-11 01:00:14,USDT,LINKUSDT,contract_margin_settle_fee,-0.004422,0
1250528771726561305,2024-12-11 01:00:13,USDT,DOTUSDT,contract_margin_settle_fee,-0.00670984,0
