order,date,coin,futures,type,sum,fee
1250744287577690112,2024-12-11 15:16:36,USDT,DOGEUSDT,open_long,0.0,-0.00482868
1250520661754564612,2024-12-11 00:27:59,USDT,ADAUSDT,adjust_margin_ifm,0.0,0.0
1250490235581288452,2024-12-10 22:27:05,USDT,LINKUSDT,open_long,0.0,-0.0131796
1250490235577094171,2024-12-10 22:27:05,USDT,LINKUSDT,open_long,0.0,-0.0131778
1250431692983422983,2024-12-10 18:34:28,USDT,ADAUSDT,close_long,14.868,-0.02355444
1250413239853568053,2024-12-10 17:21:08,USDT,XRPUSDT,open_long,0.0,-0.030861
1250410977437601833,2024-12-10 17:12:09,USDT,SOLUSDT,open_long,0.0,-0.07429896
1250218660361588824,2024-12-10 04:27:57,USDT,DOTUSDT,open_long,0.0,-0.01272
1250154169842192389,2024-12-10 00:11:41,USDT,POLUSDT,open_long,0.0,-0.017325
1250120948601507947,2024-12-09 21:59:40,USDT,SOLUSDT,open_long,0.0,-0.05274576
1250120678261837979,2024-12-09 21:58:36,USDT,MANAUSDT,open_long,0.0,-0.028071
1249937722511642650,2024-12-09 09:51:36,USDT,MANAUSDT,close_long,2.84,-0.04071
1248693685569900565,2024-12-05 23:28:14,USDT,BTCUSDT,open_long,0.0,-0.038
1248595183997210662,2024-12-05 16:56:50,USDT,BTCUSDT,close_long,35.255461871139,-0.12182148
1247865395787472904,2024-12-03 16:36:55,USDT,ADAUSDT,adjust_margin_ifm,0.0,0.0
1247865358332338236,2024-12-03 16:36:46,USDT,ADAUSDT,adjust_down_leverage,0.0,0.0
1247864828423970831,2024-12-03 16:34:39,USDT,SOLUSDT,open_long,0.0,-0.1337052
1247839889679589446,2024-12-03 14:55:34,USDT,SOLUSDT,close_long,20.588500999998,-0.260016
1247296094131068944,2024-12-02 02:54:43,USDT,DOGEUSDT,open_long,0.0,-0.0271158
1247294170103160860,2024-12-02 02:47:04,USDT,MANAUSDT,open_long,0.0,-0.039006
1245343202222415877,2024-11-26 17:34:37,USDT,BTCUSDT,open_long,0.0,-0.11335896
1243503402641137803,2024-11-21 15:43:55,USDT,SOLUSDT,adjust_margin_ifm,0.0,0.0
1243501575333879830,2024-11-21 15:36:39,USDT,SOLUSDT,open_long,0.0,-0.146415
1243491553312907270,2024-11-21 14:56:49,USDT,ADAUSDT,adjust_margin_ifm,0.0,0.0
1243470465673601039,2024-11-21 13:33:02,USDT,ETHUSDT,open_long,0.0,-0.01981074
1243470465673601041,2024-11-21 13:33:02,USDT,ETHUSDT,open_long,0.0,-0.07924584
1243452657912913922,2024-11-21 12:22:16,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1242160704898342926,2024-11-17 22:48:30,USDT,,trans_from_exchange,277.9933582,0.0
1242154069337448455,2024-11-17 22:22:08,USDT,BTCUSDT,close_long,44.221385613417,-0.21517848
1241098445656825867,2024-11-15 00:27:28,USDT,ADAUSDT,open_long,0.0,-0.0296157
1240242490626940969,2024-11-12 15:46:13,USDT,SOLUSDT,open_long,0.0,-0.05063136
1240005755860045858,2024-11-12 00:05:31,USDT,BTCUSDT,open_long,0.0,-0.21289992
1239990687592239116,2024-11-11 23:05:38,USDT,BTCUSDT,close_long,57.873878420125,-0.15801786
1236061104903966772,2024-11-01 02:50:52,USDT,BTCUSDT,open_long,0.0,-0.0556
1235953466312642562,2024-10-31 19:43:09,USDT,BTCUSDT,open_long,0.0,-0.08449776
1225125758863298564,2024-10-01 22:37:43,USDT,BTCUSDT,close_long,0.7327482348,-0.15501909
1224579230616670214,2024-09-30 10:26:00,USDT,BTCUSDT,open_long,0.0,-0.06523002
1220363193184571402,2024-09-18 19:12:59,USDT,BTCUSDT,close_long,3.83969788176,-0.122302692
1220360354584481794,2024-09-18 19:01:42,USDT,BTCUSDT,open_long,0.0,-0.041311564
1219336755094376449,2024-09-15 23:14:17,USDT,BTCUSDT,close_long,8.688995763521,-0.121185588
1217336711210225667,2024-09-10 10:46:49,USDT,BTCUSDT,open_long,0.0,-0.174964374
1217155249437560834,2024-09-09 22:45:45,USDT,BTCUSDT,close_long,-2.027042364787,-0.29168634
1216017954483359771,2024-09-06 19:26:33,USDT,BTCUSDT,open_long,0.0,-0.018202512
1215970389767376976,2024-09-06 16:17:33,USDT,ETHUSDT,open_long,0.0,-0.0078234
1215030738223255563,2024-09-04 02:03:42,USDT,BTCUSDT,open_long,0.0,-0.01904
1212120863277207552,2024-08-27 01:20:54,USDT,BTCUSDT,close_long,12.773530935846,-0.096340734
1210969327750762507,2024-08-23 21:05:07,USDT,BTCUSDT,close_long,9.841687290564,-0.064903416
1209800842840526868,2024-08-20 15:41:58,USDT,SOLUSDT,open_long,0.0,-0.012130945
1209799378256678925,2024-08-20 15:36:09,USDT,ETHUSDT,open_long,0.0,-0.0176596
1206688299267805205,2024-08-12 01:33:50,USDT,BTCUSDT,open_long,0.0,-0.009894238
1206659977188102144,2024-08-11 23:41:17,USDT,BTCUSDT,open_long,0.0,-0.090053811
1206636927428218883,2024-08-11 22:09:42,USDT,BTCUSDT,open_long,0.0,-0.089279784
1206622218385772549,2024-08-11 21:11:15,USDT,BTCUSDT,open_long,0.0,-0.030067305
1206621413763076114,2024-08-11 21:08:03,USDT,BTCUSDT,close_long,0.444446369777,-0.240303432
1205164282123800578,2024-08-07 20:37:56,USDT,ETHUSDT,close_long,-5.803262500001,-0.083971755
1205163990271545353,2024-08-07 20:36:46,USDT,SOLUSDT,close_long,5.100244,-0.0291260184
1204644334037258247,2024-08-06 10:11:51,USDT,SOLUSDT,close_long,3.533755,-0.0349583325
1204400070824972297,2024-08-05 18:01:14,USDT,BTCUSDT,open_long,0.0,-0.055179246
1204374388900253709,2024-08-05 16:19:11,USDT,BTCUSDT,open_long,0.0,-0.11086074
1204343022624067591,2024-08-05 14:14:32,USDT,BTCUSDT,close_long,-170.219246979734,-0.30694554
1204290097038118914,2024-08-05 10:44:14,USDT,ETHUSDT,open_long,0.0,-0.082542684
1204289964242260004,2024-08-05 10:43:42,USDT,ETHUSDT,close_long,-48.987500000001,-0.05905392
1204289814513995777,2024-08-05 10:43:07,USDT,ETHUSDT,close_long,-97.473000000001,-0.11836386
1204160867923021853,2024-08-05 02:10:43,USDT,SOLUSDT,open_long,0.0,-0.010315158
1204047600030470168,2024-08-04 18:40:38,USDT,BTCUSDT,open_long,0.0,-0.01972
1204034127380762634,2024-08-04 17:47:06,USDT,SOLUSDT,open_long,0.0,-0.009112
1204021186682048516,2024-08-04 16:55:41,USDT,ETHUSDT,open_long,0.0,-0.00960925
1203284897087246366,2024-08-02 16:09:56,USDT,ETHUSDT,open_long,0.0,-0.0051
1202976125814984731,2024-08-01 19:42:59,USDT,SOLUSDT,close_long,0.26705,-0.04029
1202930487488303106,2024-08-01 16:41:38,USDT,BTCUSDT,open_long,0.0,-0.06401724
1202638505956233216,2024-07-31 21:21:24,USDT,ETHUSDT,open_long,0.0,-0.03304647
1201867212201807877,2024-07-29 18:16:33,USDT,BTCUSDT,open_long,0.0,-0.034141083
1201855815820660756,2024-07-29 17:31:16,USDT,BTCUSDT,open_long,0.0,-0.011402767
1201160492718641154,2024-07-27 19:28:18,USDT,SOLUSDT,close_long,10.08268,-0.0372652104
1201160303106740224,2024-07-27 19:27:33,USDT,BTCUSDT,close_long,21.532454606569,-0.210779532
1200707442191257600,2024-07-26 13:28:02,USDT,ETHUSDT,open_long,0.0,-0.033136026
1198009422970507264,2024-07-19 02:47:05,USDT,BTCUSDT,open_long,0.0,-0.032486796
1197138034286022659,2024-07-16 17:04:29,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1196549166293733377,2024-07-15 02:04:32,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1196549059699691520,2024-07-15 02:04:07,USDT,BTCUSDT,open_long,0.0,-0.093563784
1194341148651048963,2024-07-08 23:50:40,USDT,BTCUSDT,close_long,-9.728398354979,-0.028888032
1194340535313780736,2024-07-08 23:48:14,USDT,BTCUSDT,close_long,-77.727986839827,-0.231154848
1193072717842763776,2024-07-05 11:50:22,USDT,ETHUSDT,open_long,0.0,-0.029770842
1193072201813348365,2024-07-05 11:48:19,USDT,BTCUSDT,open_long,0.0,-0.028053672
1192580663320662029,2024-07-04 03:15:07,USDT,ETHUSDT,open_long,0.0,-0.032677536
1192580475541671943,2024-07-04 03:14:23,USDT,SOLUSDT,open_long,0.0,-0.0068748612
1192580475541671945,2024-07-04 03:14:23,USDT,SOLUSDT,open_long,0.0,-0.0068755497
1192580131994619913,2024-07-04 03:13:01,USDT,BTCUSDT,open_long,0.0,-0.059925
1192580011320299522,2024-07-04 03:12:32,USDT,,trans_from_exchange,160.0,0.0
1191456265054343172,2024-07-01 00:47:10,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1191456110217416708,2024-07-01 00:46:33,USDT,BTCUSDT,close_long,-9.935596190477,-0.064060284
1189296293893787652,2024-06-25 01:44:13,USDT,ETHUSDT,adjust_margin_ifm,0.0,0.0
1189296220522827777,2024-06-25 01:43:55,USDT,ETHUSDT,adjust_margin_ifm,0.0,0.0
1189083171107000321,2024-06-24 11:37:20,USDT,BTCUSDT,open_long,0.0,-0.031227606
1188922097086910491,2024-06-24 00:57:17,USDT,BTCUSDT,open_long,0.0,-0.042941456
1188914442209480722,2024-06-24 00:26:52,USDT,SOLUSDT,open_long,0.0,-0.0131623554
1188013045335085056,2024-06-21 12:45:02,USDT,,trans_from_exchange,84.0,0.0
1184518654356246528,2024-06-11 21:19:35,USDT,BTCUSDT,open_long,0.0,-0.034361811
1183061309163982856,2024-06-07 20:48:36,USDT,BTCUSDT,open_long,0.0,-0.035398284
1177656308765708288,2024-05-23 22:51:04,USDT,BTCUSDT,open_long,0.0,-0.03463461
1177536327629557763,2024-05-23 14:54:18,USDT,ETHUSDT,open_long,0.0,-0.09616152
1177535548764082177,2024-05-23 14:51:13,USDT,ETHUSDT,close_long,0.283477499999,-0.09515478
1177535372368433164,2024-05-23 14:50:30,USDT,LINKUSDT,close_long,0.097,-0.008109
1177534701208490008,2024-05-23 14:47:50,USDT,BTCUSDT,open_long,0.0,-0.034906695
1177506709585416193,2024-05-23 12:56:37,USDT,ETHUSDT,open_long,0.0,-0.03988812
1176937959664537609,2024-05-21 23:16:36,USDT,LINKUSDT,adjust_down_leverage,0.0,0.0
1176937796413837314,2024-05-21 23:15:57,USDT,SOLUSDT,open_long,0.0,-0.027231552
1176937662951084033,2024-05-21 23:15:25,USDT,SOLUSDT,adjust_margin_ifm,0.0,0.0
1176937412576301058,2024-05-21 23:14:26,USDT,SOLUSDT,adjust_down_leverage,0.0,0.0
1176826489953996844,2024-05-21 15:53:40,USDT,BTCUSDT,open_long,0.0,-0.071744556
1176820548160344072,2024-05-21 15:30:03,USDT,BTCUSDT,close_long,8.366439999999,-0.215517942
1176787799747743748,2024-05-21 13:19:55,USDT,SOLUSDT,open_long,0.0,-0.0184390908
1176787503957037076,2024-05-21 13:18:45,USDT,ETHUSDT,open_long,0.0,-0.038485212
1176585005333893126,2024-05-20 23:54:05,USDT,BTCUSDT,open_long,0.0,-0.390540711
1176552583821152256,2024-05-20 21:45:15,USDT,ETHUSDT,close_long,12.643387499999,-0.0896325
1176543580198162433,2024-05-20 21:09:29,USDT,DOTUSDT,close_long,0.195,-0.00375309
1176543477211222023,2024-05-20 21:09:04,USDT,DOTUSDT,close_long,0.398,-0.00751026
1176543326333718536,2024-05-20 21:08:28,USDT,LINKUSDT,close_long,1.229,-0.00868632
1176543025589538834,2024-05-20 21:07:17,USDT,DOGEUSDT,close_long,2.33044,-0.01627853955
1176542267645251584,2024-05-20 21:04:16,USDT,ETHUSDT,close_long,14.078219999999,-0.140274888
1176492650304000017,2024-05-20 17:47:06,USDT,LINKUSDT,open_long,0.0,-0.00842367
1176085471650533376,2024-05-19 14:49:07,USDT,LINKUSDT,close_long,2.922,-0.016881
1176084651886399488,2024-05-19 14:45:52,USDT,SOLUSDT,close_long,1.68452,-0.0085833051
1175384754547740674,2024-05-17 16:24:43,USDT,LINKUSDT,open_long,0.0,-0.00819009
1175377459549982723,2024-05-17 15:55:44,USDT,LINKUSDT,adjust_down_leverage,0.0,0.0
1175325832122093584,2024-05-17 12:30:35,USDT,LINKUSDT,close_long,1.849,-0.00839103
1175325711045120004,2024-05-17 12:30:06,USDT,LINKUSDT,adjust_margin_ifm,0.0,0.0
1175325346249723912,2024-05-17 12:28:39,USDT,SOLUSDT,close_long,3.38862,-0.017176596
1175083775944183816,2024-05-16 20:28:44,USDT,SOLUSDT,open_long,0.0,-0.0081515901
1175083655118868482,2024-05-16 20:28:16,USDT,SOLUSDT,adjust_margin_ifm,0.0,0.0
1175077912785342468,2024-05-16 20:05:26,USDT,BTCUSDT,close_short,0.023,-0.033249297
1175056168880066562,2024-05-16 18:39:02,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1175043010178207747,2024-05-16 17:46:45,USDT,BTCUSDT,open_short,0.0,-0.033261027
1175036607468294148,2024-05-16 17:21:19,USDT,BTCUSDT,close_long,11.05232,-0.1334823
1172464718371770368,2024-05-09 15:01:32,USDT,BTCUSDT,open_long,0.0,-0.031190733
1172271009726353408,2024-05-09 02:11:49,USDT,DOGEUSDT,open_long,0.0,-0.01509001515
1172124054656274437,2024-05-08 16:27:52,USDT,ETHUSDT,open_long,0.0,-0.01525308
1172114101379944450,2024-05-08 15:48:19,USDT,SOLUSDT,open_long,0.0,-0.0227452095
1172101915039387653,2024-05-08 14:59:53,USDT,SOLUSDT,close_short,0.02743,-0.0075328887
1172096749024202771,2024-05-08 14:39:22,USDT,SOLUSDT,adjust_margin_ifm,0.0,0.0
1172009144773398546,2024-05-08 08:51:15,USDT,DOGEUSDT,close_long,0.285996999774,-0.00819302097
1171889237444415489,2024-05-08 00:54:47,USDT,DOGEUSDT,close_long,0.601333999774,-0.00835384284
1171888934653415426,2024-05-08 00:53:35,USDT,SOLUSDT,open_short,0.0,-0.007546878
1171888209185624066,2024-05-08 00:50:42,USDT,SOLUSDT,close_long,0.25904,-0.0604037472
1171514123716546560,2024-05-07 00:04:13,USDT,DOTUSDT,close_long,-0.003,-0.00365211
1171513034036367361,2024-05-06 23:59:53,USDT,DOTUSDT,open_long,0.0,-0.01461456
1171511135723737093,2024-05-06 23:52:21,USDT,DOGEUSDT,open_long,0.0,-0.001604256
1171511135337861120,2024-05-06 23:52:20,USDT,DOGEUSDT,open_long,0.0,-0.000802026
1171511135337861124,2024-05-06 23:52:20,USDT,DOGEUSDT,open_long,0.0,-0.001203039
1171511135333666818,2024-05-06 23:52:20,USDT,DOGEUSDT,open_long,0.0,-0.001203039
1171511135333666825,2024-05-06 23:52:20,USDT,DOGEUSDT,open_long,0.0,-0.001203039
1171506691766374407,2024-05-06 23:34:41,USDT,SOLUSDT,adjust_margin_ifm,0.0,0.0
1170630913797279760,2024-05-04 13:34:39,USDT,DOGEUSDT,adjust_margin_ifm,0.0,0.0
1170286104272326668,2024-05-03 14:44:30,USDT,DOGEUSDT,open_long,0.0,-0.010078926
1169371808642256896,2024-05-01 02:11:25,USDT,ETHUSDT,open_long,0.0,-0.0152337
1169371697069576194,2024-05-01 02:10:59,USDT,BTCUSDT,open_long,0.0,-0.030566697
1167932772912353280,2024-04-27 02:53:12,USDT,SOLUSDT,open_long,0.0,-0.0137776296
1167732512147525632,2024-04-26 13:37:26,USDT,LINKUSDT,open_long,0.0,-0.02234412
1167732075302375424,2024-04-26 13:35:42,USDT,ETHUSDT,open_long,0.0,-0.016027719
1167136934606819336,2024-04-24 22:10:50,USDT,BTCUSDT,open_long,0.0,-0.098049591
1167118899493883906,2024-04-24 20:59:10,USDT,BTCUSDT,close_long,4.842699999999,-0.32627709
1167116362116124703,2024-04-24 20:49:05,USDT,BTCUSDT,open_long,0.0,-0.098496351
1167116193538658315,2024-04-24 20:48:25,USDT,BTCUSDT,open_long,0.0,-0.032813145
1167115934578135042,2024-04-24 20:47:23,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1167115917578620930,2024-04-24 20:47:19,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1167115894828716034,2024-04-24 20:47:13,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1167063245211193347,2024-04-24 17:18:01,USDT,SOLUSDT,open_long,0.0,-0.0464940072
1167054089448214528,2024-04-24 16:41:38,USDT,SOLUSDT,close_long,1.107149999999,-0.0543458958
1166479274446311426,2024-04-23 02:37:31,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1166479235271512065,2024-04-23 02:37:22,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
1166479216803991563,2024-04-23 02:37:18,USDT,BTCUSDT,adjust_margin_ifm,0.0,0.0
